code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g	prediction
13932.0		402.0	1.3	3.1	15.1	9.4	96.0	0.0	9.2	3.6799998	1.6	9.3	12.0	2
14281.0		444.0	6.1	3.0	12.8	3.7	106.0	1.5	1.5	0.6	1.7	13.0	4.0	2
14311.0		444.0	5.5	4.4	10.3	0.8	106.0	2.6	0.12	0.048	1.3	9.6	-1.0	2
14472.0		1488.0	15.555555	0.0	75.55556	2.2222223	355.55554	0.0	0.0	0.0	7.5	0.0	-6.0	0
14502.0		824.0	9.9	6.6	26.1	1.7	197.0	0.9	1.1	0.44	1.6	90.0	-5.0	5
14519.0		590.0	6.6	10.1	4.2	1.9	141.0	3.2	0.5	0.2	2.5	30.3	0.0	2
14526.0		197.0	1.8	0.2	8.6	8.0	47.2	0.0	0.1	0.04	2.0	0.0	-2.0	2
1.4563004E9		1610.0	10.0	7.5	70.0	20.0	380.0	2.5	0.0375	0.015	10.0	0.0	0.0	0
147.0		10594.0	9.0	54.0	13.0	1.0	2532.0	14.0	0.0	0.0	20.0	0.0	15.0	1
14717.0		456.0	5.7	2.2	16.0	1.4	109.0	1.1	0.43	0.172	0.8	0.0	0.0	2
14816.0		975.0	0.0	23.33	6.67	0.0	233.0	0.0	1.75	0.7	0.0	0.0	9.0	2
14878.0		2385.0	21.0	48.0	21.0	3.0	570.0	7.5	0.0	0.0	9.4	100.0	-1.0	5
14885.0		2485.0	21.88	50.0	21.88	3.12	594.0	6.25	1.095	0.438	6.2	50.0	6.0	1
14892.0		2484.0	25.0	50.0	21.875	6.25	593.75	7.8125	0.0	0.0	9.4	100.0	0.0	5
14915.0		736.0	8.4	2.8	28.2	4.0	176.0	0.7	1.0	0.4	1.3	73.4	-2.0	5
14922.0		950.0	9.2	9.3	25.2	0.7	227.0	1.2	1.0	0.4	1.6	0.0	1.0	2
15004.0		1121.0	11.2	13.8	22.5	2.9	268.0	5.6	2.7	1.08	4.5	23.5	14.0	2
15011.0		653.0	8.1	1.7	25.8	2.2	156.0	0.3	1.0	0.4	1.4	42.1	-2.0	2
15080.0		59.0	1.0	0.1	1.5	0.8	14.0	0.0	0.05	0.02	1.3	14.3	-1.0	2
15271.0		703.0	9.5	4.2	20.9	4.1	168.0	1.5	0.57	0.228	1.8	23.8	-1.0	2
15356.0		137.0	0.0	0.0	6.6666665	3.3333333	33.333332	0.0	2.0833333	0.8333333	1.5	16.666666	3.0	2
15509.0		812.0	9.6	5.6	27.7	1.6	194.0	0.8	1.1	0.44	1.7	32.9	0.0	2
15691.0		854.0	8.1	6.3	27.3	4.2	204.0	2.7	0.93	0.372	2.5	69.0	-1.0	5
15769.0		448.0	2.3	5.2	11.5	5.1	107.0	0.7	0.4	0.16	2.3	87.2	-5.0	5
16063.0		276.0	4.1	1.64	9.02	0.82	66.0	0.0	1.23	0.492	0.8	0.0	3.0	2
1.6864136E9		1406.0	4.7	0.2	77.5	55.5	336.0	0.2	0.05	0.02	0.1	0.0	14.0	3
1.757016E9		2293.0	7.14	35.71	50.0	45.24	548.0	14.29	0.2075	0.083	4.8	0.0	21.0	1
18166.0		690.0	5.9	0.6	33.1	1.5	165.0	0.1	1.2	0.48	1.9	0.0	3.0	2
18999.0		1431.0	7.0	1.6	73.0	0.6	342.0	0.3	0.08	0.032	3.6	0.0	-3.0	0
2.0		1565.0	82.0	1.5	6.7	1.1	374.0	0.4	1.7	0.68	2.8	0.0	9.0	4
2.0000003E9		1294.66	6.96	11.97	39.85	23.48	307.4	1.11	0.0425	0.017	9.89	100.0	-5.0	5
2.0000024E9		904.0	4.0	2.9	44.0	0.7	216.0	0.7	0.95	0.38	3.0	0.0	1.0	2
2.0000068E9		1903.0	6.6	29.0	41.0	32.0	457.0	18.0	0.28	0.112	2.6	0.0	21.0	1
2.000007E9		1125.0	7.69	3.85	46.15	3.85	269.0	0.0	1.25	0.5	0.0	0.0	4.0	2
2.0000072E9		1071.0	9.3	4.65	46.51	4.65	256.0	0.0	1.22	0.488	2.3	0.0	2.0	2
2.0000072E9		1071.0	9.3	4.65	46.51	4.65	256.0	0.0	1.22	0.488	2.3	0.0	2.0	2
2.0000073E9		1046.0	10.71	3.57	42.86	3.57	250.0	0.0	1.34	0.536	7.1	0.0	-2.0	0
2.0000084E9		1360.0	19.3	4.0	50.5	1.5	325.0	1.1	4.3	1.72	4.6	0.0	11.0	0
2.0000086E9		1527.0	3.0	13.0	55.0	25.0	365.0	8.0	0.37	0.148	2.0	22.0	15.0	6
2.0000108E9		1033.0	16.0	12.0	16.0	2.4	247.0	1.3	1.3	0.52	5.5	0.0	-1.0	2
2.0002712E9		954.0	8.77	2.63	45.61	10.53	228.0	8.77	0.4825	0.193	1.8	0.0	13.0	6
2.0113002E9		347.0	0.0	0.0	20.0	16.67	83.0	0.0	1.25	0.5	0.0	0.0	9.0	2
20336.0		573.0	5.0	6.8	13.3	1.5	137.0	3.8	1.5	0.6	1.5	0.0	6.0	2
20633.0		552.0	6.3	5.9	12.8	2.6	132.0	2.0	2.0	0.8	1.2	0.0	6.0	2
2.0735419E9		598.0	18.75	7.14	0.0	0.0	143.0	2.23	0.1775	0.071	0.0	0.0	-2.0	2
2.09233E16		310.0	17.6	0.5	0.05	0.05	74.0	0.2	0.3	0.12	0.05	0.0	-4.0	2
2.098866E9		448.0	23.21	1.34	0.0	0.0	107.0	0.45	0.155	0.062	0.0	0.0	-4.0	2
